tDate,Country,NumberOfTest
2020-01-01,Mexico,26
2020-01-02,Mexico,72
2020-01-03,Mexico,89
2020-01-04,Mexico,45
2020-01-05,Mexico,82
2020-01-06,Mexico,166
2020-01-07,Mexico,186
2020-01-08,Mexico,171
2020-01-09,Mexico,190
2020-01-10,Mexico,151
2020-01-11,Mexico,45
2020-01-12,Mexico,129
2020-01-13,Mexico,225
2020-01-14,Mexico,242
2020-01-15,Mexico,266
2020-01-16,Mexico,230
2020-01-16,Taiwan,4
2020-01-17,Mexico,186
2020-01-17,Taiwan,0
2020-01-18,Mexico,69
2020-01-18,Taiwan,1
2020-01-19,Mexico,122
2020-01-19,Taiwan,1
2020-01-20,Mexico,294
2020-01-20,Taiwan,2
2020-01-21,Mexico,275
2020-01-21,South Korea,0
2020-01-21,Taiwan,12
2020-01-22,Mexico,292
2020-01-22,South Korea,5
2020-01-22,Taiwan,44
2020-01-23,Mexico,265
2020-01-23,South Korea,0
2020-01-23,Taiwan,70
2020-01-24,Mexico,210
2020-01-24,South Korea,0
2020-01-24,Taiwan,57
2020-01-25,Mexico,106
2020-01-25,South Korea,0
2020-01-25,Taiwan,91
2020-01-26,Mexico,159
2020-01-26,South Korea,0
2020-01-26,Taiwan,117
2020-01-27,Mexico,279
2020-01-27,South Korea,9
2020-01-27,Taiwan,123
2020-01-28,Mexico,247
2020-01-28,South Korea,130
2020-01-28,Taiwan,95
2020-01-29,Mexico,211
2020-01-29,South Korea,0
2020-01-29,Taiwan,106
2020-01-30,Mexico,232
2020-01-30,South Korea,0
2020-01-30,Taiwan,100
2020-01-31,Canada,0
2020-01-31,Mexico,152
2020-01-31,South Korea,0
2020-01-31,Taiwan,93
2020-02-01,Canada,0
2020-02-01,Mexico,66
2020-02-01,South Korea,0
2020-02-01,Taiwan,87
2020-02-02,Canada,0
2020-02-02,Denmark,1
2020-02-02,Mexico,103
2020-02-02,Slovenia,2
2020-02-02,South Korea,58
2020-02-02,Taiwan,64
2020-02-03,Canada,0
2020-02-03,Denmark,0
2020-02-03,Mexico,141
2020-02-03,Slovenia,0
2020-02-03,South Korea,0
2020-02-03,Taiwan,131
2020-02-04,Canada,0
2020-02-04,Denmark,0
2020-02-04,Mexico,255
2020-02-04,Slovenia,0
2020-02-04,South Korea,0
2020-02-04,Taiwan,103
2020-02-05,Canada,0
2020-02-05,Denmark,0
2020-02-05,Estonia,0
2020-02-05,Japan,4
2020-02-05,Mexico,234
2020-02-05,Slovenia,0
2020-02-05,South Korea,107
2020-02-05,Taiwan,157
2020-02-06,Canada,0
2020-02-06,Denmark,0
2020-02-06,Estonia,1
2020-02-06,Japan,19
2020-02-06,Mexico,231
2020-02-06,Slovenia,0
2020-02-06,South Korea,171
2020-02-06,Taiwan,77
2020-02-07,Canada,0
2020-02-07,Denmark,0
2020-02-07,Estonia,0
2020-02-07,Japan,9
2020-02-07,Mexico,173
2020-02-07,Slovenia,0
2020-02-07,South Korea,245
2020-02-07,Taiwan,199
2020-02-08,Canada,0
2020-02-08,Denmark,0
2020-02-08,Estonia,0
2020-02-08,Japan,4
2020-02-08,Mexico,68
2020-02-08,Slovenia,0
2020-02-08,South Korea,571
2020-02-08,Taiwan,225
2020-02-09,Canada,0
2020-02-09,Denmark,0
2020-02-09,Estonia,0
2020-02-09,Japan,10
2020-02-09,Mexico,130
2020-02-09,Slovenia,6
2020-02-09,South Korea,639
2020-02-09,Taiwan,128
2020-02-10,Canada,0
2020-02-10,Denmark,0
2020-02-10,Estonia,0
2020-02-10,Japan,12
2020-02-10,Mexico,330
2020-02-10,Slovenia,0
2020-02-10,South Korea,436
2020-02-10,Taiwan,205
2020-02-11,Canada,0
2020-02-11,Denmark,0
2020-02-11,Estonia,0
2020-02-11,Japan,4
2020-02-11,Mexico,247
2020-02-11,Slovenia,0
2020-02-11,South Korea,853
2020-02-11,Taiwan,168
2020-02-12,Canada,0
2020-02-12,Denmark,0
2020-02-12,Estonia,0
2020-02-12,Japan,10
2020-02-12,Mexico,263
2020-02-12,Slovenia,0
2020-02-12,South Korea,1445
2020-02-12,Taiwan,128
2020-02-13,Canada,0
2020-02-13,Denmark,1
2020-02-13,Estonia,0
2020-02-13,Japan,16
2020-02-13,Mexico,193
2020-02-13,Slovenia,0
2020-02-13,South Korea,723
2020-02-13,Taiwan,115
2020-02-14,Canada,0
2020-02-14,Denmark,0
2020-02-14,Estonia,0
2020-02-14,Japan,43
2020-02-14,Mexico,164
2020-02-14,Slovenia,0
2020-02-14,South Korea,1057
2020-02-14,Taiwan,72
2020-02-15,Canada,0
2020-02-15,Denmark,0
2020-02-15,Estonia,0
2020-02-15,Japan,86
2020-02-15,Mexico,76
2020-02-15,Slovenia,0
2020-02-15,South Korea,665
2020-02-15,Taiwan,89
2020-02-16,Canada,0
2020-02-16,Denmark,0
2020-02-16,Estonia,0
2020-02-16,Japan,65
2020-02-16,Mexico,103
2020-02-16,Slovenia,4
2020-02-16,South Korea,400
2020-02-16,Taiwan,112
2020-02-17,Canada,0
2020-02-17,Denmark,1
2020-02-17,Estonia,0
2020-02-17,Japan,113
2020-02-17,Mexico,247
2020-02-17,Slovenia,0
2020-02-17,South Korea,252
2020-02-17,Taiwan,813
2020-02-18,Canada,0
2020-02-18,Denmark,2
2020-02-18,Estonia,0
2020-02-18,Japan,9
2020-02-18,Mexico,255
2020-02-18,Slovenia,0
2020-02-18,South Korea,1094
2020-02-18,Taiwan,832
2020-02-19,Canada,0
2020-02-19,Denmark,2
2020-02-19,Estonia,0
2020-02-19,Japan,71
2020-02-19,Mexico,185
2020-02-19,Slovenia,0
2020-02-19,South Korea,1146
2020-02-19,Taiwan,696
2020-02-20,Canada,0
2020-02-20,Denmark,1
2020-02-20,Estonia,0
2020-02-20,Israel,29
2020-02-20,Japan,90
2020-02-20,Mexico,177
2020-02-20,Slovenia,0
2020-02-20,South Korea,1750
2020-02-20,Taiwan,796
2020-02-21,Canada,0
2020-02-21,Denmark,0
2020-02-21,Estonia,0
2020-02-21,Israel,28
2020-02-21,Japan,85
2020-02-21,Mexico,131
2020-02-21,Slovenia,0
2020-02-21,South Korea,2655
2020-02-21,Taiwan,714
2020-02-22,Canada,0
2020-02-22,Denmark,1
2020-02-22,Estonia,0
2020-02-22,Israel,13
2020-02-22,Japan,96
2020-02-22,Mexico,54
2020-02-22,Slovenia,0
2020-02-22,South Korea,4805
2020-02-22,Taiwan,444
2020-02-23,Canada,0
2020-02-23,Denmark,0
2020-02-23,Estonia,0
2020-02-23,Israel,56
2020-02-23,Japan,39
2020-02-23,Mexico,111
2020-02-23,Slovenia,8
2020-02-23,South Korea,3012
2020-02-23,Taiwan,328
2020-02-24,Canada,0
2020-02-24,Denmark,0
2020-02-24,Estonia,0
2020-02-24,Israel,75
2020-02-24,Italy,0
2020-02-24,Japan,104
2020-02-24,Luxembourg,0
2020-02-24,Mexico,212
2020-02-24,Slovenia,18
2020-02-24,South Korea,5982
2020-02-24,Taiwan,698
2020-02-25,Canada,18
2020-02-25,Denmark,10
2020-02-25,Estonia,0
2020-02-25,Israel,108
2020-02-25,Italy,4299
2020-02-25,Japan,44
2020-02-25,Luxembourg,7
2020-02-25,Mexico,267
2020-02-25,Slovenia,21
2020-02-25,South Korea,8101
2020-02-25,Taiwan,609
2020-02-26,Canada,62
2020-02-26,Denmark,30
2020-02-26,Estonia,8
2020-02-26,Israel,108
2020-02-26,Italy,964
2020-02-26,Japan,168
2020-02-26,Luxembourg,2
2020-02-26,Mexico,205
2020-02-26,Slovenia,41
2020-02-26,South Korea,9411
2020-02-26,Taiwan,521
2020-02-27,Canada,77
2020-02-27,Denmark,109
2020-02-27,Estonia,10
2020-02-27,Finland,0
2020-02-27,Iceland,23
2020-02-27,Israel,171
2020-02-27,Italy,2427
2020-02-27,Japan,151
2020-02-27,Luxembourg,1
2020-02-27,Mexico,198
2020-02-27,Slovenia,43
2020-02-27,South Korea,11863
2020-02-27,Taiwan,520
2020-02-28,Canada,0
2020-02-28,Denmark,62
2020-02-28,Estonia,13
2020-02-28,Finland,358
2020-02-28,Iceland,13
2020-02-28,Israel,118
2020-02-28,Italy,3681
2020-02-28,Japan,130
2020-02-28,Luxembourg,4
2020-02-28,Mexico,219
2020-02-28,Slovenia,35
2020-02-28,South Korea,12950
2020-02-28,Taiwan,371
2020-02-29,Canada,0
2020-02-29,Denmark,74
2020-02-29,Estonia,8
2020-02-29,Finland,15
2020-02-29,Iceland,32
2020-02-29,Israel,158
2020-02-29,Italy,2966
2020-02-29,Japan,178
2020-02-29,Latvia,116
2020-02-29,Luxembourg,1
2020-02-29,Mexico,85
2020-02-29,Slovenia,16
2020-02-29,South Korea,14753
2020-02-29,Taiwan,511
2020-03-01,Belgium,82
2020-03-01,Canada,125
2020-03-01,Denmark,49
2020-03-01,Estonia,18
2020-03-01,Finland,16
2020-03-01,Iceland,22
2020-03-01,Israel,187
2020-03-01,Italy,2466
2020-03-01,Japan,96
2020-03-01,Latvia,10
2020-03-01,Luxembourg,0
2020-03-01,Mexico,144
2020-03-01,New Zealand,0
2020-03-01,Portugal,0
2020-03-01,Slovenia,17
2020-03-01,South Korea,11292
2020-03-01,Taiwan,430
2020-03-01,United States,347
2020-03-02,Belgium,317
2020-03-02,Canada,0
2020-03-02,Denmark,80
2020-03-02,Estonia,23
2020-03-02,Finland,26
2020-03-02,Iceland,48
2020-03-02,Israel,171
2020-03-02,Italy,2218
2020-03-02,Japan,71
2020-03-02,Latvia,37
2020-03-02,Luxembourg,0
2020-03-02,Mexico,279
2020-03-02,New Zealand,29
2020-03-02,Portugal,45
2020-03-02,Slovenia,54
2020-03-02,South Korea,12606
2020-03-02,Taiwan,600
2020-03-02,United States,505
2020-03-03,Belgium,538
2020-03-03,Canada,0
2020-03-03,Denmark,63
2020-03-03,Estonia,29
2020-03-03,Finland,51
2020-03-03,Greece,0
2020-03-03,Iceland,45
2020-03-03,Israel,235
2020-03-03,Italy,2511
2020-03-03,Japan,153
2020-03-03,Latvia,41
2020-03-03,Luxembourg,2
2020-03-03,Mexico,286
2020-03-03,New Zealand,26
2020-03-03,Portugal,61
2020-03-03,Slovenia,48
2020-03-03,South Korea,16260
2020-03-03,Taiwan,506
2020-03-03,United States,605
2020-03-04,Belgium,701
2020-03-04,Canada,0
2020-03-04,Denmark,88
2020-03-04,Estonia,36
2020-03-04,Finland,85
2020-03-04,Greece,0
2020-03-04,Iceland,81
2020-03-04,Israel,129
2020-03-04,Italy,3981
2020-03-04,Japan,3940
2020-03-04,Latvia,36
2020-03-04,Luxembourg,1
2020-03-04,Mexico,237
2020-03-04,New Zealand,25
2020-03-04,Portugal,40
2020-03-04,Slovenia,51
2020-03-04,South Korea,10856
2020-03-04,Taiwan,485
2020-03-04,United States,856
2020-03-05,Belgium,773
2020-03-05,Canada,0
2020-03-05,Denmark,109
2020-03-05,Estonia,35
2020-03-05,Finland,80
2020-03-05,Greece,0
2020-03-05,Iceland,62
2020-03-05,Israel,173
2020-03-05,Italy,2525
2020-03-05,Japan,699
2020-03-05,Latvia,35
2020-03-05,Luxembourg,5
2020-03-05,Mexico,227
2020-03-05,New Zealand,27
2020-03-05,Portugal,80
2020-03-05,Slovenia,103
2020-03-05,South Korea,9834
2020-03-05,Taiwan,297
2020-03-05,United States,1190
2020-03-06,Belgium,1119
2020-03-06,Canada,296
2020-03-06,Costa Rica,2
2020-03-06,Denmark,127
2020-03-06,Estonia,72
2020-03-06,Finland,105
2020-03-06,Greece,0
2020-03-06,Hungary,39
2020-03-06,Iceland,57
2020-03-06,Israel,274
2020-03-06,Italy,3997
2020-03-06,Japan,553
2020-03-06,Latvia,32
2020-03-06,Luxembourg,6
2020-03-06,Mexico,172
2020-03-06,New Zealand,66
2020-03-06,Poland,0
2020-03-06,Portugal,81
2020-03-06,Slovakia,378
2020-03-06,Slovenia,278
2020-03-06,South Korea,18199
2020-03-06,Taiwan,381
2020-03-06,United States,1485
2020-03-07,Belgium,475
2020-03-07,Canada,372
2020-03-07,Costa Rica,5
2020-03-07,Denmark,108
2020-03-07,Estonia,29
2020-03-07,Finland,20
2020-03-07,Greece,0
2020-03-07,Hungary,50
2020-03-07,Iceland,58
2020-03-07,Israel,336
2020-03-07,Italy,5703
2020-03-07,Japan,147
2020-03-07,Latvia,14
2020-03-07,Luxembourg,6
2020-03-07,Mexico,78
2020-03-07,New Zealand,44
2020-03-07,Poland,0
2020-03-07,Portugal,79
2020-03-07,Slovakia,66
2020-03-07,Slovenia,177
2020-03-07,South Korea,13449
2020-03-07,Taiwan,307
2020-03-07,United States,1763
2020-03-08,Belgium,483
2020-03-08,Canada,932
2020-03-08,Costa Rica,3
2020-03-08,Denmark,229
2020-03-08,Estonia,21
2020-03-08,Finland,14
